start_point_id,end_point_id,distance
VD2,NM3,0.8089010989615693
VD2,TP2,0.8461970122295233
VD2,TP3,1.4614384936226275
VD2,NP2,1.7249083000496708
VD3,NM3,1.3922182317580483
VD3,TP2,2.357022603719456
VD3,TP3,1.2422599871520505
VD3,NP2,0.5555555550000005
NM3,VD2,0.8089010989615693
NM3,VD3,1.3922182317580483
NM3,NM3,0.0
NM3,TP2,1.0943175333523942
NM3,TP3,0.8012336168005918
NM3,NP2,0.9162456948781343
TP2,VD2,0.8461970122295233
TP2,VD3,2.357022603719456
TP2,NM3,1.0943175333523942
TP2,TP2,0.0
TP2,TP3,1.242259987599264
TP2,NP2,1.8087578442909236
TP3,VD2,1.4614384936226275
TP3,VD3,1.2422599871520505
TP3,NM3,0.8012336168005918
TP3,TP2,1.242259987599264
TP3,TP3,0.0
TP3,NP2,0.7027283691722612
NP2,VD2,1.7249083000496708
NP2,VD3,0.5555555550000005
NP2,NM3,0.9162456948781343
NP2,TP2,1.8087578442909236
NP2,TP3,0.7027283691722612
NP2,NP2,0.0
