Vertex Category,Sl. No.,Description,Latitude,Longitude,Remarks/Comments,VT1,VT2,VT3,CC1P,CC1D,CC2D,Multimodal Compatibility for Network_Air,Multimodal Compatibility for Network_Rail,Multimodal Compatibility for Network_Road
Vehicle Depot,VD1,Vehicle Depot VD1,0.111,0.333,Accessibility for depots is defined according to vehicles available.,1,0,0,0,0,0,0,1,0
Vehicle Depot,VD2,Vehicle Depot VD2,2.444,4.111,Accessibility for depots is defined according to vehicles available.,0,1,0,0,0,0,1,0,0
Vehicle Depot,VD3,Vehicle Depot VD3,4.444,5,Accessibility for depots is defined according to vehicles available.,0,1,0,0,0,0,1,0,0
Vehicle Depot,VD4,Vehicle Depot VD4,0,0,Accessibility for depots is defined according to vehicles available.,0,0,1,0,0,0,0,0,1
WareHouse,WH1,WareHouse WH1,0.111,0.111,,0,0,0,0,30,0,0,0,1
WareHouse,WH2,WareHouse WH2,-0.056,0.069,,0,0,0,0,30,150,0,0,1
Simultaneous Node,NM4,Simultaneous Node NM4,3.667,4.556,,0,0,0,0,0,30,1,0,0
Transhipment Port,TP1,Transhipment Port TP1,0.189,0.111,,0,0,0,0,1,1,0,1,1
Transhipment Port,TP2,Transhipment Port TP2,2.778,3.333,,0,0,0,0,1,1,1,1,0
Transhipment Port,TP3,Transhipment Port TP3,3.889,3.889,,0,0,0,0,1,1,1,1,0
Split Node,NP1,Split Node NP1,3.222,4.556,,0,0,0,0,0,77,1,0,0
Split Node,NP2,Split Node NP2,4.111,4.556,,0,0,0,0,0,41,1,0,0
Split Node,NP19,Split Node NP19,0.267,0.044,,0,0,0,15,17,0,0,0,1
Relief Centre,RC1,Relief Centre RC1,0.167,-0.028,,0,0,0,50,0,0,0,0,1
