param P=11;
param C=13;
param Max = 3;
param QM = 75;

#Numero de pallets
param d:=
1	9
2	8
3	14
4	10
5	9
6	11
7	13
8	15
9	9
10	9;

param w:
	1	2	3:=
1	9	12	15
2	15	10	15	
3	9	11	8
4	9	9	11
5	10	13	9
6	13	15	8
7	9	12	13
8	8	10	12
9	10	9	12
10	14	13	12
11	11	9	9
12	15	8	14
13	14	9	11;

param Q:
	1	2	3:=
1	45	60	75
2	75	50	75
3	45	55	40
4	45	45	55
5	50	65	45
6	65	75	40
7	45	60	65
8	40	50	60
9	50	45	60
10	70	65	60
11	55	45	45
12	75	40	70
13	70	45	55;

param o:											
	1	2	3	4	5	6	7	8	9	10:=
1	16.66186716	6.332123168	1.395719565	15.29234867	10.26666978	7.766471052	17.52817638	11.81880209	10.43012284	1.826762803	
2	17.12371907	7.77706171	2.748779843	15.85400788	11.76634995	8.531344864	17.929067	13.03670988	11.95254444	3.177939458	
3	15.74290447	5.095963119	0.276448451	14.32087651	9.065270226	6.732867026	16.64249346	10.5781808	9.251929951	0.607833009	
4	15.21749057	4.547581684	0.480894171	13.77672951	8.551975242	6.175484137	16.12928087	9.971037618	8.760977274	0.095139307	
5	13.59771025	0.4129422	4.617700265	11.95871405	4.452177302	4.991924294	14.63155207	6.328731168	4.726032931	4.191790487	
6	8.920890094	5.056908869	6.697774765	7.418069189	7.488594504	0.23652004	9.885805899	5.520242697	8.040265558	6.35091757	
7	12.50004161	0.949438391	5.356761232	10.84697781	4.136366311	4.155998409	13.54355912	5.250127713	4.53804283	4.919477493	
8	13.9176971	4.093190154	9.069413244	12.20870857	0.071347012	7.542682239	15.00695189	4.562147726	0.652086931	8.653413556	
9	14.76879537	4.463857606	9.307977972	13.06036966	0.809349687	8.283027412	15.85806796	5.383291313	0.203096574	8.906089666	
10	9.398587814	5.61210047	9.972028742	7.697707423	4.610353286	5.212155579	10.48696073	0.505087691	5.196929328	9.540601843	
11	1.760477801	11.76640067	14.06298675	0.074802166	12.20948293	7.601577619	2.849518328	7.761582789	12.80815483	13.7362481	
12	0.295365936	13.20000228	15.29638169	1.433755801	13.68483451	8.891393317	1.377076686	9.214710131	14.28269172	14.98626655	
13	1.005015651	14.43814814	16.36899415	2.715649061	14.96919849	10.02815169	0.149209017	10.49063884	15.56686592	16.07289795;	
											
param c:											
	1	2	3	4	5	6	7	8	9	10	11:=
1	0	13.44936038	15.48292736	1.711728229	13.96967631	9.098319939	1.089272737	9.506167988	14.56807387	15.17745003	30.47466892
2	13.44936038	0	5.028282145	11.79621082	4.059858781	5.000197348	14.49227082	5.973054513	4.35233969	4.601334056	17.43159955
3	15.48292736	5.028282145	0	14.06748163	9.02859357	6.487191697	16.37909818	10.42502125	9.232515129	0.437667661	18.50958332
4	1.711728229	11.79621082	14.06748163	0	12.26033622	7.610402163	2.799844224	7.819142431	12.8594194	13.74231069	28.76623057
5	13.96967631	4.059858781	9.02859357	12.26033622	0	7.555063358	15.05890378	4.623326895	0.606254127	8.613508352	16.65940804
6	9.098319939	5.000197348	6.487191697	7.610402163	7.555063358	0	10.05450256	5.711927537	8.099139507	6.145049644	22.41710228
7	1.089272737	14.49227082	16.37909818	2.799844224	15.05890378	10.05450256	0	10.59101867	15.65734305	16.08596923	31.55647824
8	9.506167988	5.973054513	10.42502125	7.819142431	4.623326895	5.711927537	10.59101867	0	5.191001695	9.992043576	21.28234311
9	14.56807387	4.35233969	9.232515129	12.8594194	0.606254127	8.099139507	15.65734305	5.191001695	0	8.82712225	16.09483953
10	15.17745003	4.601334056	0.437667661	13.74231069	8.613508352	6.145049644	16.08596923	9.992043576	8.82712225	0	18.45396999
11	30.47466892	17.43159955	18.50958332	28.76623057	16.65940804	22.41710228	31.55647824	21.28234311	16.09483953	18.45396999	0;
