start_point_id,end_point_id,distance
VD4,NM2,18.10253890669442
VD4,TP3,13.148329694364858
VD4,NP1,22.916023834540237
VD4,NP2,16.65875038983939
VD4,RC1,6.427183534612134
NM2,VD4,18.10253890669442
NM2,NM2,0.0
NM2,TP3,19.883369838179625
NM2,NP1,37.718105872688156
NM2,NP2,2.4075645330045683
NM2,RC1,18.859052936344078
TP3,VD4,13.148329694364858
TP3,NM2,19.883369838179625
TP3,TP3,0.0
TP3,NP1,22.387008055696658
TP3,NP2,17.47791934522414
TP3,RC1,7.8596900594201955
NP1,VD4,22.916023834540237
NP1,NM2,37.718105872688156
NP1,TP3,22.387008055696658
NP1,NP1,0.0
NP1,NP2,35.47289290508084
NP1,RC1,18.859052936344078
NP2,VD4,16.65875038983939
NP2,NM2,2.4075645330045683
NP2,TP3,17.47791934522414
NP2,NP1,35.47289290508084
NP2,NP2,0.0
NP2,RC1,16.629689224215227
RC1,VD4,6.427183534612134
RC1,NM2,18.859052936344078
RC1,TP3,7.8596900594201955
RC1,NP1,18.859052936344078
RC1,NP2,16.629689224215227
RC1,RC1,0.0
