start_point_id,end_point_id,distance
VD1,WH1,9.10947263996424
VD1,NM1,14.480721051968052
VD1,NM2,62.42502708825725
VD1,NM3,19.488925728136707
VD1,NM4,64.01432277380837
VD1,TP1,36.86568437171742
VD1,RC1,18.11387522262655
WH1,VD1,9.10947263996424
WH1,WH1,0.0
WH1,NM1,11.31484316038575
WH1,NM2,55.11723362001301
WH1,NM3,12.164628772570302
WH1,NM4,57.18358071648486
WH1,TP1,30.999643892008045
WH1,RC1,22.327045306861702
NM1,VD1,14.480721051968052
NM1,WH1,11.31484316038575
NM1,NM1,0.0
NM1,NM2,48.504576063271934
NM1,NM3,8.119459949766826
NM1,NM4,49.7849671460554
NM1,TP1,22.438213070343878
NM1,RC1,13.419385946743677
NM2,VD1,62.42502708825725
NM2,WH1,55.11723362001301
NM2,NM1,48.504576063271934
NM2,NM2,0.0
NM2,NM3,43.11304721149493
NM2,NM4,6.082314386285151
NM2,TP1,26.957632799381493
NM2,RC1,55.69755131208422
NM3,VD1,19.488925728136707
NM3,WH1,12.164628772570302
NM3,NM1,8.119459949766826
NM3,NM2,43.11304721149493
NM3,NM3,0.0
NM3,NM4,45.042739114368594
NM3,TP1,19.06949980479971
NM3,RC1,21.355543382671687
NM4,VD1,64.01432277380837
NM4,WH1,57.18358071648486
NM4,NM1,49.7849671460554
NM4,NM2,6.082314386285151
NM4,NM3,45.042739114368594
NM4,NM4,0.0
NM4,TP1,27.558616810006505
NM4,RC1,55.94060284706039
TP1,VD1,36.86568437171742
TP1,WH1,30.999643892008045
TP1,NM1,22.438213070343878
TP1,NM2,26.957632799381493
TP1,NM3,19.06949980479971
TP1,NM4,27.558616810006505
TP1,TP1,0.0
TP1,RC1,28.74632981890312
RC1,VD1,18.11387522262655
RC1,WH1,22.327045306861702
RC1,NM1,13.419385946743677
RC1,NM2,55.69755131208422
RC1,NM3,21.355543382671687
RC1,NM4,55.94060284706039
RC1,TP1,28.74632981890312
RC1,RC1,0.0
