start_point_id,end_point_id,distance
VD1,WH1,13.248599898548981
VD1,NM1,7.025904803538567
VD1,TP1,10.0
VD1,NP1,8.482596598613148
VD1,RC1,10.0
WH1,VD1,13.248599898548981
WH1,WH1,0.0
WH1,NM1,11.653469361403372
WH1,TP1,21.20649149653287
WH1,NP1,16.3237391435892
WH1,RC1,7.5
NM1,VD1,7.025904803538567
NM1,WH1,11.653469361403372
NM1,NM1,0.0
NM1,TP1,9.792370663293395
NM1,NP1,4.6839365356923786
NM1,RC1,5.299439959419593
TP1,VD1,10.0
TP1,WH1,21.20649149653287
TP1,NM1,9.792370663293395
TP1,TP1,0.0
TP1,NP1,5.299439959419593
TP1,RC1,15.03406653856055
NP1,VD1,8.482596598613148
NP1,WH1,16.3237391435892
NP1,NM1,4.6839365356923786
NP1,TP1,5.299439959419593
NP1,NP1,0.0
NP1,RC1,9.792370663293395
RC1,VD1,10.0
RC1,WH1,7.5
RC1,NM1,5.299439959419593
RC1,TP1,15.03406653856055
RC1,NP1,9.792370663293395
RC1,RC1,0.0
